sites_ID;Ref_number;Authors;Type;References;Voucher specimens
bor1046;0082;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1047;0083;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1047;0084;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1047;0085;Mielke and Mirna;Article;Mielke, O. H. H., Casagrande, M. M. 1997. Papilionoidea e Hesperioidea (Lepidoptera) do Parque Estadual do Morro do Diabo, Teodoro Sampaio, São Paulo, Brasil. Revista Brasileira de Zoologia 14(4): 967-1001.;Colecao Entomologica Padre Jesus Santiago Moure, Universidade Federal do Parana
bor1048;0086;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1048;0087;Brown;Book Chapter;Brown, K. S. 1992. Borboletas da Serra do Japi: diversidade, habitats, recursos alimentares e variação temporal. In (L.P.C. Morellato org.), História natural da Serra do Japi: ecologia e preservação de uma área florestal no sudeste do Brasil, Editora da Unicamp, Campinas, p. 142- 187.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1048;0088;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1048;0089;Santos et al;Article;Santos, J. P., Iserhard, C. A., Carreira, J. Y. O., Freitas, A. V. L. 2017. Monitoring fruit-feeding butterfly assemblages in two vertical strata in seasonal Atlantic Forest: temporal species turnover is lower in the canopy. Journal of Tropical Ecology, 33(5), 345-355.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1048;0090;Carreira;Thesis;Carreira, J. Y. O. 2015. Dinamica temporal e sazonalidade de borboletas frugivoras na Mata Atlantica. M. S. Thesis, Universidade Estadual de Campinas;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1048;0091;Gueratto;Thesis;Gueratto, P. E. 2018. Estradas dentro de florestas afetam as comunidades de borboletas frugivoras? M. S. Thesis. Universidade Estadual de Campinas;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1049;0092;Uehara-Prado et al;Article;Uehara-Prado, M., Freitas, A. V. L.,Francini, R. B., Brown, K. S. 2004. Guia das Borboletas Frugívoras da Reserva Estadual do Morro Grande e região de Caucaia do Alto, Cotia (São Paulo). Biota Neotropica 4:1-25.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1049;0093;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1050;0094;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1050;0095;Ribeiro;Thesis;Ribeiro, D. B. 2006. A guilda de borboletas frugívoras em uma paisagem fragmentada no Alto Paraíba, SP. M. S. Thesis, Universidade Estadual de Campinas, Campinas.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1050;0096;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1051;0097;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1051;0098;Gomes Filho;Thesis;Gomes Filho, Arlindo. 2003. A comunidade de borboletas frugivoras da reserva de Santa Genebra, Campinas, SP, com enfase na flutuação populacional de Anaea Ryphea (Cramer) (Nymphalidae : Charaxinae) e sua relação com as plantas hospedeiras. M. S. Thesis, Universidade Estadual de Campinas.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1051;0099;Brown and Freitas;Article;Brown, K.S. Jr & Freitas, A.V.L. 2003. Butterfly communities of urban forest fragments in Campinas, São Paulo, Brazil: structure, instability, environmental correlates, and conservation. Journal of Insect Conservation, 6, 217–231.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
