sites_ID;Ref_number;Authors;Type;References;Voucher specimens
bor1052;0100;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1052;0101;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1053;0102;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1053;0103;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1054;0104;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1054;0105;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1055;0106;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1056;0107;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1056;0108;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1057;0109;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1057;0110;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1058;0111;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1059;0112;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1059;0113;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1060;0114;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1061;0115;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1061;0116;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1062;0117;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1062;0118;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1063;0119;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1064;0120;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1064;0121;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1065;0122;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1065;0123;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1066;0124;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1067;0125;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1067;0126;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1068;0127;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1068;0128;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1069;0129;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1069;0130;Uehara-Prado;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1069;0131;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1070;0132;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1070;0133;Uehara-Prado;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1070;0134;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1071;0135;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1071;0136;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1072;0137;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1073;0138;Rosa;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1074;0139;Rosa;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1075;0140;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1075;0141;Neves and Paluch;Article;Neves, D. A., Paluch, M. 2016. Estrutura da comunidade de borboletas frugívoras na Mata Atlântica do litoral sul da Bahia (Brasil) (Lepidoptera: Nymphalidae). SHILAP Revista de Lepidopterologia 44(176): 593-606.;Laboratório de Sistemática e Conservação de Insetos, Setor de Ciências Biológicas, Universidade Federal do Recôncavo da Bahia, Cruz das Almas, BA.
bor1076;0142;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1077;0143;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1078;0144;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1078;0145;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1079;0146;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1080;0147;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1081;0148;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1082;0149;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1082;0150;Paluch et al;Article;Paluch, M., Mielke, O. H. H., Linhares, L. M., Silva, D. C. 2016. Butterflies (Lepidoptera: Papilionoidea and Hesperioidea) of the Private Reserve of Natural Heritage Fazenda Lontra/Saudade, Itanagra, Northern Coast of Bahia, Brazil. Biota Neotropica 16(1): e20140085.;Entomological collection, Universidade Federal do Reconcavo da Bahia, Cruz das Almas, Laboratorio de Sistematica e Conservacao de Insetos  and Colecao Entomologica Padre Jesus Santiago Moure, Universidade Federal do Parana
bor1083;0151;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1083;0152;Cardoso;Article;Cardoso, A. 1949. Lepidópteros de Alagoas. Revista de Entomologia 20: 427-436.;Personal collection
bor1084;0153;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1084;0154;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1084;0155;Filgueiras;Thesis;Filgueiras, B. K. C. 2015. Resposta dos besouros escarabeineos (Scarabaeidae) e borboletas frugivoras (Nymphalidae) a modificação de habitat na floresta atlantica nordestina. PhD Thesis, Universidade Federal de Pernambuco;Not informed
bor1085;0156;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1086;0157;Paluch et al;Article;Paluch, M., Mielke, O. H. H., Nobre, C. E. B., Casagrande, M. M., Melo, D. H. A., Freitas, A. V. L. 2011. Butterflies (Lepidoptera: Papilionoidea and Hesperioidea) of the Parque Ecológico João Vasconcelos Sobrinho, Caruaru, Pernambuco, Brazil. Biota Neotropica 11(4): 229-238.;Entomological collection of  Universidade Federal de Pernambuco, Recife, Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana
bor1087;0158;Melo;Thesis;Melo, D. H. A. 2014. Efeito da fragmentação de habitat sobre borboletas frugivoras (Lepidoptera: Nymphalidae) na floresta atlantica nordestina. M. S. Thesis, Universidade Federal de Pernambuco;Entomological collection of  Universidade Federal de Pernambuco, Recife, Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1087;0159;Freitas;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection
bor1088;0160;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1089;0161;Araujo;Thesis;Araujo, P. F. 2016. Estruturação espaço-temporal, funcional e filogenetica de borboletas frugivoras em diferentes estratos verticais de uma Floresta Estacional Semidecidual. M. S. Thesis, Universidade Federal de Mato Grosso do Sul.;Colecao Cientifica do Laboratorio de Zoologia da Universidade Federal de Mato Grosso do Sul
bor1090;0162;Biezanko;Article;Biezanko, M. C. 1949. Acraeidae, Heliconiidae et Nymphalidae de Pelotas e seus arredores (Contribuição ao conhecimento da fisiografia do Rio Grande do Sul). Pelotas, Livraria Globo. 16 pp.;
bor1091;0163;Beirao;Thesis;Beirao, M. V. 2016. Distribuição espaço-temporal de borboletas frugívoras em ambientes tropicais sazonais. PhD Thesis, Universidade Federal de Minas Gerais.;Coleção da Universidade Federal de Minas Gerais
bor1092;0164;Nunez-Bustos;Article;Nunez-Bustos, E. O. 2008. Diversidad de Mariposas Diurnas em la Reserva Privada Yacutinga, Provincia Misiones, Argentina (Lepidoptera: Hesperioidea y Papilionoidea);Coleccion entomologica de la Estacion Biologica de la Reserva Privada Yacutinga
bor1093;0165;Nunez-Bustos;Article;Nunez-Bustos, E. O. 2009. Mariposas diurnas (Lepidoptera: Papilionoidea y Hesperioidea) del Parque Nacional Iguazu, Provincia de Misiones, Argentina. Tropical Lepidoptera Research, 19(2): 71-81.;
bor1094;0166;Nunez-Bustos et al;Article;Nunez-Bustos, E. O., Favre, P., Bertolini, M. P.,  Turner, J. D., Sourakov, A. 2011. Mariposas diurnas (Lepidoptera: Papilionoidea y Hesperioidea) de la Reserva Privada Osununu-Parque Provincial Teyu Cuare y alrededores de Sna Ignacio, Provincia de Misiones, Argentina. Tropical Lepidoptera Research 21(1): 34-42.;
